Agency,Sub_County,Neighborhood,Price,link,sq_mtrs,Bedrooms,Bathrooms
Crystal Valuers Ltd,Dagoretti North,"Arwings Kodheck, Kilimani","KSh 75,000",/listings/2-bedroom-apartment-for-rent-kilimani-3463126,125,2,2
Swiveltrend Ltd,Kiambaa,"Limuru Road, Ruaka","KSh 20,000",/listings/1-bedroom-apartment-for-rent-ruaka-3417160,4000,1,1
Sunland Real Estates Limited,Ruiru,"BYPASS, EASTERN BYPASS, Ruiru","KSh 20,000",/listings/2-bedroom-apartment-for-rent-ruiru-3466084,2,2,2
Homekenya24,Kiambaa,Ruaka,"KSh 20,000",/listings/1-bedroom-apartment-for-rent-ruaka-3468465,1,1,1
Kimachas Enterprises,Nyali,"50, 3rd avenue nyali, Nyali Area","KSh 20,000",/listings/1-bedroom-apartment-for-rent-nyali-area-3462968,200,1,1
Estate Masters Limited,Kiambaa,"RUMENYE, Ruaka","KSh 20,000",/listings/2-bedroom-apartment-for-rent-ruaka-3467201,2,2,2
Kitheka Musyoka,Nyali,"links road, BEACH ROAD, Nyali Area","KSh 20,000",/listings/1-bedroom-apartment-for-rent-nyali-area-3467460,1200,1,1
Swiveltrend Ltd,Kiambaa,"Limuru Road, Ruaka","KSh 20,000",/listings/1-bedroom-apartment-for-rent-ruaka-3417159,4000,1,1
Pmc Estates Limited,Kajiado North,Ongata Rongai,"KSh 20,000",/listings/2-bedroom-apartment-for-rent-ongata-rongai-3442461,2,2,
Cmt Realtors,Kisumu Central,Kisumu Central Area,"KSh 20,000",/listings/2-bedroom-apartment-for-rent-kisumu-central-area-3464680,2,2,2
Havilaplus Estates Ltd,Kikuyu,Kikuyu Town,"KSh 22,000",/listings/2-bedroom-apartment-for-rent-kikuyu-town-3465046,2,2,2
Havilaplus Estates Ltd,Kabete,"Gravilla Estate, Kabete Area","KSh 22,000",/listings/2-bedroom-apartment-for-rent-kabete-area-3438087,2,2,1
Havilaplus Estates Ltd,Kajiado North,Ngong,"KSh 22,000",/listings/2-bedroom-apartment-for-rent-ngong-3447578,2,2,1
Sema Estate Agents,Westlands,Riverside,"KSh 280,000",/listings/3-bedroom-apartment-for-rent-riverside-3464730,3,3,
Havilaplus Estates Ltd,Kikuyu,"THOGOTO, Kikuyu Town","KSh 18,000",/listings/1-bedroom-apartment-for-rent-kikuyu-town-1-3453671,1,1,1
Swiveltrend Ltd,Kiambaa,"Limuru Road, Ruaka","KSh 23,000",/listings/1-bedroom-apartment-for-rent-ruaka-1-3405401,4000,1,1
Cmt Realtors,Kisumu Central,Kisumu Central Area,"KSh 23,000",/listings/2-bedroom-apartment-for-rent-kisumu-central-area-3464687,2,2,2
Havilaplus Estates Ltd,Embakasi,Utawala,"KSh 24,000",/listings/2-bedroom-apartment-for-rent-utawala-3461218,2,2,2
Realty Plus,Langata,Nairobi West,"KSh 24,000",/listings/studio-apartment-for-rent-nairobi-west-2-3430087,,,
Kitheka Musyoka,Nyali,"Vok, New Malindi Mombasa road, Frere Town","KSh 24,000",/listings/2-bedroom-apartment-for-rent-frere-town-3467648,2,2,2
Opus Properties,Thika,"Garissa Road, Thika","KSh 25,000",/listings/3-bedroom-apartment-for-rent-thika-3404270,3,3,2
Swiveltrend Ltd,Kiambaa,"Limuru Road, Ruaka","KSh 25,000",/listings/2-bedroom-apartment-for-rent-ruaka-3404774,4000,2,
Homekenya24,Kiambaa,Ruaka,"KSh 25,000",/listings/1-bedroom-apartment-for-rent-ruaka-3468005,1,1,1
Civic Capital,Embakasi,Imara Daima,"KSh 25,000",/listings/2-bedroom-apartment-for-rent-imara-daima-3436557,2,2,2
Havilaplus Estates Ltd,Kikuyu,"Thogoto -DAVAN APARTMENT, Thogoto, Kikuyu Town","KSh 25,000",/listings/2-bedroom-apartment-for-rent-kikuyu-town-1-3453666,2,2,2
Sunland Real Estates Limited,Dagoretti South,"NGONG ROAD, NGONG ROAD, Dagoretti Corner","KSh 25,000",/listings/2-bedroom-apartment-for-rent-dagoretti-corner-3466237,2,2,1
Furaha Properties,Nyali,Nyali Area,"KSh 25,000",/listings/2-bedroom-apartment-for-rent-nyali-area-3413037,2,2,
Cfs Homes,Kiambaa,Ruaka,"KSh 25,000",/listings/1-bedroom-apartment-for-rent-ruaka-1-3445641,1,1,
Pc Properties Real Estate Agency,Dagoretti North,"Makueni Rd, Kileleshwa","KSh 100,000",/listings/3-bedroom-apartment-for-rent-kileleshwa-3466159,3,3,3
Cfs Homes,Kiambaa,Ruaka,"KSh 25,000",/listings/1-bedroom-apartment-for-rent-ruaka-1-3445641,1,1,
Swiveltrend Ltd,Kiambaa,"Limuru Road, Ruaka","KSh 25,000",/listings/1-bedroom-apartment-for-rent-ruaka-3458642,1012,1,1
Sunland Real Estates Limited,Ruiru,"BYPASS, NORTHERN BYPASS, Ruiru","KSh 25,000",/listings/2-bedroom-apartment-for-rent-ruiru-3466085,2,2,1
Mazz Prestines,Roysambu,"Garden Estate, Garden Estate","KSh 26,000",/listings/1-bedroom-apartment-for-rent-garden-estate-3407196,1,1,
Habitat Realtors International Ltd,Langata,"Ngumo Central, Ngumo Estate","KSh 27,000",/listings/1-bedroom-apartment-for-rent-ngumo-estate-3461812,18,1,1
Canaan Properties,Kiambaa,Ruaka,"KSh 28,000",/listings/2-bedroom-apartment-for-rent-ruaka-3429937,2,2,2
Civic Capital,Athi River,Syokimau,"KSh 28,000",/listings/2-bedroom-apartment-for-rent-syokimau-3467458,2,2,2
Kitheka Musyoka,Nyali,"links road, links road, Nyali Area","KSh 28,000",/listings/1-bedroom-apartment-for-rent-nyali-area-3380313,100,1,1
Axis Assets Limited,Kikuyu,Kikuyu Town,"KSh 28,000",/listings/2-bedroom-apartment-for-rent-kikuyu-town-3415097,2,2,2
Swiveltrend Ltd,Kiambaa,"Limuru Road, Ruaka","KSh 28,000",/listings/2-bedroom-apartment-for-rent-ruaka-3417302,4047,2,2
Sunland Real Estates Limited,Mombasa Road,"MOMBASA ROAD, Mombasa Road","KSh 28,000",/listings/2-bedroom-apartment-for-rent-3466236,2,2,2
Kimachas Enterprises,Nyali,"Links road, Links road, Ziwa La Ngombe","KSh 28,000",/listings/2-bedroom-apartment-for-rent-ziwa-la-ngombe-3466228,200,2,2
Tuvilani Ventures Enterprice,Nyali,"Nyali beach road, Nyali beach road, Nyali Area","KSh 28,000",/listings/2-bedroom-apartment-for-rent-nyali-area-3465773,120,2,2
Civic Capital,Athi River,Syokimau,"KSh 28,000",/listings/2-bedroom-apartment-for-rent-syokimau-3464445,2,2,2
Westside Real Estate,Dagoretti North,"Muringa Road, Kilimani","KSh 200,000",/listings/5-bedroom-apartment-for-rent-kilimani-3432720,240,5,5
Axis Assets Limited,Kiambaa,"Limuru Road, Ruaka","KSh 28,000",/listings/2-bedroom-apartment-for-rent-ruaka-3-3453022,2,2,2
Impeller Projects Ltd,Kisumu West,Kisumu West,"KSh 30,000",/listings/furnished-1-bedroom-apartment-for-rent-kisumu-west-3447680,1,1,1
Habitat Realtors International Ltd,Kiambu Road,"Thindigua, Tsavo Apartments, Kiambu Road","KSh 30,000",/listings/2-bedroom-apartment-for-rent-kiambu-road-3461807,35,2,1
Symonns Realty,Thika East,"Phase 2, Thika East","KSh 30,000",/listings/2-bedroom-apartment-for-rent-1-3459721,9,2,2
Ric Realtors,Langata,"Karen, Karen","KSh 30,000",/listings/furnished-1-bedroom-apartment-for-rent-karen-1-3392388,1,1,1
Kaisa Ventures Kenya Limited,Dagoretti North,Kileleshwa,"KSh 30,000",/listings/studio-apartment-for-rent-kileleshwa-3463516,0,0,
Swiveltrend Ltd,Kiambaa,"Limuru Road, Ruaka","KSh 30,000",/listings/2-bedroom-apartment-for-rent-ruaka-3404432,125,2,2
Swiveltrend Ltd,Kiambaa,"Limuru Road, Ruaka","KSh 30,000",/listings/2-bedroom-apartment-for-rent-ruaka-3417298,2,2,2
Crowne Estates,Westlands,"3rd, 3rd avenue, Parklands","KSh 30,000",/listings/1-bedroom-apartment-for-rent-parklands-3460806,1,1,1
Kimachas Enterprises,Nyali,"Links road, Links road, Ziwa La Ngombe","KSh 30,000",/listings/3-bedroom-apartment-for-rent-ziwa-la-ngombe-3467754,2500,3,3
Benford Homes,Kilifi South,"mtwapa, Mtwapa","KSh 30,000",/listings/2-bedroom-apartment-for-rent-mtwapa-3464136,1012,2,3
Yellow Market,Ngong Road,"NA, Racecourse, Ngong Road","KSh 30,000",/listings/1-bedroom-apartment-for-rent-3460658,1,1,1
Almond Estate,Westlands,New Kitusuru,"KSh 30,000",/listings/2-bedroom-apartment-for-rent-new-kitusuru-3466905,2,2,
Swiveltrend Ltd,Kiambaa,"Limuru Road, Ruaka","KSh 30,000",/listings/1-bedroom-apartment-for-rent-ruaka-3436916,6071,1,1
Fitsher Homes Ltd,Athi River,Syokimau,"KSh 30,000",/listings/3-bedroom-apartment-for-rent-syokimau-3466750,3,3,2
Eden Height Realty,Westlands,Thigiri,"KSh 175,000",/listings/2-bedroom-apartment-for-rent-thigiri-3464770,150,2,2
Washington Homes Kenya,Westlands,"Riverside Drive, Riverside","KSh 145,000",/listings/3-bedroom-apartment-for-rent-riverside-3468376,3,3,5
Fitsher Homes Ltd,Mombasa Road,Mombasa Road,"KSh 30,000",/listings/2-bedroom-apartment-for-rent-3466784,2,2,2
Home Care Estates Ltd,Embakasi,"Maziwa rd, Imara Daima","KSh 30,000",/listings/2-bedroom-apartment-for-rent-imara-daima-3464377,2,2,2
Trisums Investments Company Limited,Kiambu Town,"Mwimuto, Kiambu Town","KSh 30,000",/listings/2-bedroom-apartment-for-rent-3466525,2,2,2
Homekenya24,Kiambaa,Ruaka,"KSh 32,000",/listings/2-bedroom-apartment-for-rent-ruaka-3464193,2,2,2
Shingles Kenya Limited,Ngong Road,"Ngong Rd, Ngong Road","KSh 32,000",/listings/1-bedroom-apartment-for-rent-3429978,1,1,1
Swiveltrend Ltd,Kiambaa,"Limuru Road, Ruaka","KSh 32,500",/listings/2-bedroom-apartment-for-rent-ruaka-3454806,3035,2,2
Habitat Realtors International Ltd,Athi River,"Five Star Gardens, 5 Star Gardens Off Airport View Road, Syokimau","KSh 33,000",/listings/3-bedroom-apartment-for-rent-syokimau-3461752,105,3,2
Home Care Estates Ltd,Kajiado North,"Near Watakatifu Centre, Kahara Road, Ngong","KSh 33,000",/listings/3-bedroom-apartment-for-rent-ngong-3463788,3,3,2
Springtide Properties Limited,Eldoret North,"Kisumu Road, Eldoret North","KSh 33,500",/listings/3-bedroom-apartment-for-rent-3463930,3,3,3
Swiveltrend Ltd,Kiambaa,Ruaka,"KSh 35,000",/listings/studio-apartment-for-rent-ruaka-1-3417150,125,,
Edlon Group Limited,Kiambu Constituency,"Kiamumbi, Windsor","KSh 35,000",/listings/2-bedroom-apartment-for-rent-windsor-3461510,2,2,3
Realty Plus,Langata,Nairobi West,"KSh 35,000",/listings/furnished-studio-apartment-for-rent-nairobi-west-1-3430085,,,
Range Wide Properties,Dagoretti North,Kileleshwa,"KSh 35,000",/listings/1-bedroom-apartment-for-rent-kileleshwa-3457610,1,1,
El Roi Properties,Kiambu Road,Kiambu Road,"KSh 35,000",/listings/1-bedroom-apartment-for-rent-3435334,120,1,1
Avic International,Dagoretti North,"Laikipia Road, Kileleshwa","KSh 130,000",/listings/2-bedroom-apartment-for-rent-kileleshwa-3437687,2,2,2
Malazo Realtors,Kiambu Road,"Migaa, Kiambu Road","KSh 35,000",/listings/1-bedroom-apartment-for-rent-kiambu-road-43612,80,1,1
Pmc Estates Limited,Embakasi,Imara Daima,"KSh 35,000",/listings/2-bedroom-apartment-for-rent-imara-daima-3459615,2,2,
Pmm Properties,Athi River,"Beijing Road, Off Mombasa Road, Syokimau","KSh 35,000",/listings/3-bedroom-apartment-for-rent-syokimau-3468341,3,3,2
Civic Capital,Embakasi,Imara Daima,"KSh 35,000",/listings/2-bedroom-apartment-for-rent-imara-daima-3399033,2,2,2
Visions Place,Westlands,Lower Kabete,"KSh 35,000",/listings/2-bedroom-apartment-for-rent-lower-kabete-3466256,300,2,2
Swiveltrend Ltd,Kiambaa,"Limuru Road, Ruaka","KSh 35,000",/listings/2-bedroom-apartment-for-rent-ruaka-3423559,130,2,2
Regent Management Ltd,Roysambu,Kahawa Sukari,"KSh 35,000",/listings/2-bedroom-apartment-for-rent-kahawa-sukari-3464576,2,2,2
Habitat Realtors International Ltd,Langata,Langata Area,"KSh 35,000",/listings/2-bedroom-apartment-for-rent-langata-area-3466931,55,2,1
Kimachas Enterprises,Nyali,"Mamba village, Off links road, Nyali Area","KSh 35,000",/listings/3-bedroom-apartment-for-rent-nyali-area-3463432,2500,3,2
Prince Classic Homes,Embakasi,Imara Daima,"KSh 35,000",/listings/2-bedroom-apartment-for-rent-imara-daima-3466018,2,2,2
Ever Forgarden,Dagoretti North,"Denis Pritt, Kilimani","KSh 35,000",/listings/studio-apartment-for-rent-kilimani-3467107,0,0,
Cyham Properties,Athi River,"BEIJING ROAD, Syokimau","KSh 35,000",/listings/3-bedroom-apartment-for-rent-syokimau-3461552,3,3,2
Pmm Properties,Embakasi,"Nyayo Estate, Baraka/Nyayo","KSh 35,000",/listings/3-bedroom-apartment-for-rent-baraka-nyayo-3468007,3,3,2
Casapiu Holdings Limited,Athi River,Syokimau,"KSh 35,000",/listings/3-bedroom-apartment-for-rent-syokimau-3465227,3,3,3
Buy Rent Shelters,Dagoretti North,"Dennis Pritt, Lavington","KSh 90,000",/listings/3-bedroom-apartment-for-rent-lavington-3468359,250,3,3
Green Knight Properties,Dagoretti North,"Lenana road, Kilimani","KSh 100,000",/listings/3-bedroom-apartment-for-rent-kilimani-3467123,3,3,3
Swiveltrend Ltd,Kiambaa,"Limuru Road, Ruaka","KSh 35,000",/listings/2-bedroom-apartment-for-rent-ruaka-3417152,125,2,1
Real Management Services 2002Limited,Starehe,"1, Chambers, Ngara","KSh 35,000",/listings/2-bedroom-apartment-for-rent-ngara-1-1711,186,2,
Kimachas Enterprises,Nyali,"Mkomani, Mkomani, Mkomani","KSh 35,000",/listings/2-bedroom-apartment-for-rent-mkomani-3463056,2000,2,2
Wealthlink Realtors Ltd,Westlands,Westlands Area,"KSh 35,000",/listings/1-bedroom-apartment-for-rent-westlands-area-3462829,2000,1,1
Mazz Prestines,Roysambu,Garden Estate,"KSh 35,000",/listings/2-bedroom-apartment-for-rent-garden-estate-2-3414215,2,2,
Civic Capital,Athi River,Syokimau,"KSh 35,000",/listings/3-bedroom-apartment-for-rent-syokimau-3467435,3,3,2
Habitat Realtors International Ltd,Ruiru,"Tatu City, Unity West, Ruiru","KSh 35,750",/listings/2-bedroom-apartment-for-rent-3466889,85,2,2
Buy Rent Shelters,Kiambaa,"Gacharage, Ruaka","KSh 37,000",/listings/2-bedroom-apartment-for-rent-ruaka-3466210,2,2,2
Apogee Realty Homes,Kiambaa,"Hellen Drive, Ruaka","KSh 38,000",/listings/2-bedroom-apartment-for-rent-ruaka-3466914,2,2,2
Axis Assets Limited,Kiambaa,Ruaka,"KSh 38,000",/listings/2-bedroom-apartment-for-rent-ruaka-3442218,2,2,2
Tussy Realtors,Westlands,"Thiong'o, Mountain View","KSh 38,000",/listings/2-bedroom-apartment-for-rent-mountain-view-3468602,2,2,2
Royani Properties Limited,Kabete,"Next To Uthiru Genesis Boarding School, Kinoo","KSh 38,000",/listings/3-bedroom-apartment-for-rent-kinoo-3431440,3,3,2
Habitat Realtors International Ltd,Kiambaa,"Ruaka Joyland, Limuru Road, Ruaka","KSh 38,000",/listings/2-bedroom-apartment-for-rent-ruaka-3461818,45,2,2
Azizi Realtors,Kiambaa,Ruaka,"KSh 38,000",/listings/3-bedroom-apartment-for-rent-ruaka-3449460,3,3,2
Real Management Services 2002Limited,Westlands,"Riverside Drive, Riverside","KSh 38,000",/listings/2-bedroom-apartment-for-rent-riverside-3417902,2,2,1
Serene Valley Apartments,Langata,"Kiambere Road, Upper Hill","KSh 240,000",/listings/furnished-3-bedroom-apartment-for-rent-upper-hill-3467705,3,3,2
Citiscape Valuers And Estate Agents Ltd,Dagoretti North,"kikambala road, Kileleshwa","KSh 85,000",/listings/3-bedroom-apartment-for-rent-kileleshwa-3465642,3,3,3
Homeowners Eye,Langata,"Masaba Road, Upper Hill","KSh 38,000",/listings/1-bedroom-apartment-for-rent-upper-hill-3468468,1,1,1
Axis Assets Limited,Kiambaa,Ruaka,"KSh 38,000",/listings/2-bedroom-apartment-for-rent-ruaka-1-3436835,2,2,2
Civic Capital,Langata,"Mbagathi way, Ngumo Estate","KSh 39,000",/listings/2-bedroom-apartment-for-rent-ngumo-estate-3467345,2,2,1
Swiveltrend Ltd,Kiambaa,"Limuru road, Ruaka","KSh 40,000",/listings/2-bedroom-apartment-for-rent-ruaka-3461177,12000,2,2
Expo Properties,Kajiado North,"Maloi Apartments, Masai Lodge Road, Ongata Rongai","KSh 40,000",/listings/3-bedroom-apartment-for-rent-ongata-rongai-3386080,120,3,2
Kimachas Enterprises,Nyali,"Next to premier hospital, Links road, Nyali Area","KSh 40,000",/listings/3-bedroom-apartment-for-rent-nyali-area-3463033,2500,3,3
Kimachas Enterprises,Nyali,"Links road, Links road, Nyali Area","KSh 40,000",/listings/3-bedroom-apartment-for-rent-nyali-area-3466227,2500,3,3
Yellow Market,Dagoretti North,"Naivasha Road, Naivasha Road","KSh 40,000",/listings/1-bedroom-apartment-for-rent-naivasha-road-1-3456400,1,1,1
Buy Rent Shelters,Kiambaa,"Gacharage, Ruaka","KSh 40,000",/listings/2-bedroom-apartment-for-rent-ruaka-1-3454598,2,2,2
Wealthlink Realtors Ltd,Starehe,Ngara,"KSh 40,000",/listings/2-bedroom-apartment-for-rent-ngara-3466537,2,2,2
Civic Capital,Langata,"Ole Sangale, Madaraka","KSh 40,000",/listings/3-bedroom-apartment-for-rent-madaraka-3409236,3,3,1
Kitheka Musyoka,Nyali,"beach road, Nyali Area","KSh 40,000",/listings/3-bedroom-apartment-for-rent-nyali-area-3467466,2500,3,2
Phillavilla,Dagoretti North,Naivasha Road,"KSh 40,000",/listings/2-bedroom-apartment-for-rent-naivasha-road-2-3456087,2,2,2
Swiveltrend Ltd,Thindigua,"kiambu road, Thindigua","KSh 40,000",/listings/2-bedroom-apartment-for-rent-3464276,2,2,2
Swiveltrend Ltd,Thindigua,"kiambu road, Thindigua","KSh 40,000",/listings/2-bedroom-apartment-for-rent-3464276,2,2,2
Prudential Green Ville,Dagoretti North,"kilimani, kilimani, Kilimani","KSh 40,000",/listings/1-bedroom-apartment-for-rent-kilimani-3468512,1,1,1
Apricotsolutions Limited,Westlands,Parklands,"KSh 40,000",/listings/3-bedroom-apartment-for-rent-parklands-3458725,3,3,1
Naftal Properties,Dagoretti North,Naivasha Road,"KSh 40,000",/listings/2-bedroom-apartment-for-rent-naivasha-road-3467576,2,2,
Rescom Ventures Ltd,Kiambaa,Kamiti,"KSh 40,000",/listings/2-bedroom-apartment-for-rent-kamiti-1-3425766,90,2,2
Mazz Prestines,Thika Road,Thika Road,"KSh 40,000",/listings/2-bedroom-apartment-for-rent-3414224,2,2,
Civic Capital,Langata,Madaraka,"KSh 40,000",/listings/2-bedroom-apartment-for-rent-madaraka-3467455,2,2,1
Kingslink Ventures,Dagoretti South,"Precious Gardens Estate, Riruta","KSh 40,000",/listings/3-bedroom-apartment-for-rent-riruta-3440872,51,3,
Axis Assets Limited,Kiambaa,Ruaka,"KSh 40,000",/listings/2-bedroom-apartment-for-rent-ruaka-3430614,100,2,2
Swiveltrend Ltd,Kiambaa,"Limuru Road, Ruaka","KSh 40,000",/listings/2-bedroom-apartment-for-rent-ruaka-3404434,4000,2,2
Swiveltrend Ltd,Kiambaa,"Limuru Road, Ruaka","KSh 40,000",/listings/2-bedroom-apartment-for-rent-ruaka-3417266,2,2,2
Swiveltrend Ltd,Kiambaa,"Limuru Road, Ruaka","KSh 40,000",/listings/3-bedroom-apartment-for-rent-ruaka-3417293,3,3,2
Swiveltrend Ltd,Kiambaa,"Limuru Road, Ruaka","KSh 40,000",/listings/3-bedroom-apartment-for-rent-ruaka-3447664,2024,3,2
Landmark Realtors Ltd,Makadara,Makadara,"KSh 40,000",/listings/2-bedroom-apartment-for-rent-3465045,2,2,1
